model,link,cost
Apple iPhone 13 Mini 256GB / Branco / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-13-mini/apple-iphone-13-mini-256gb-branco-grau-a/,"954,71€"
Apple iPhone 13 256GB / Rosa / Grau Premium,https://www.ioutletstore.pt/shop/iphones/iphone-13/apple-iphone-13-256gb-rosa-grau-premium-2/,"1.099,18€"
Apple iPhone 12 Pro 512GB / Azul / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-12-pro/apple-iphone-12-pro-512gb-azul-grau-b-2/,"988,26€"
Apple iPhone 12 Mini 128GB / Vermelho / Grau Premium,https://www.ioutletstore.pt/shop/iphones/iphone-12-mini/apple-iphone-12-mini-128gb-vermelho-grau-premium/,"736,59€"
Apple iPhone 12 Mini 128GB / Preto / Grau Premium,https://www.ioutletstore.pt/shop/iphones/iphone-12-mini/apple-iphone-12-mini-128gb-preto-grau-premium/,"765,77€"
Apple iPhone 12 Mini 128GB / Vermelho / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-12-mini/apple-iphone-12-mini-128gb-vermelho-grau-c-mais-2/,"662,48€"
Apple iPhone 11 Pro Max 64GB / Verde / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-11-pro-max/apple-iphone-11-pro-max-64gb-verde-grau-b-3/,"655,72€"
Apple iPhone 11 Pro Max 64GB / Verde / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-11-pro-max/apple-iphone-11-pro-max-64gb-verde-grau-c-mais-4/,"635,15€"
Apple iPhone 13 512GB / Preto / Grau Premium,https://www.ioutletstore.pt/shop/iphones/iphone-13/apple-iphone-13-512gb-preto-grau-premium/,"1.260,06€"
Apple iPhone 13 256GB / Preto / Grau Premium,https://www.ioutletstore.pt/shop/iphones/iphone-13/apple-iphone-13-256gb-preto-grau-premium/,"1.069,90€"
Apple iPhone 13 256GB / Branco / Grau Premium,https://www.ioutletstore.pt/shop/iphones/iphone-13/apple-iphone-13-256gb-branco-grau-premium/,"1.069,90€"
Apple iPhone Xs 64GB / Prateado / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-xs/apple-iphone-xs-64gb-prateado-grau-b-3/,"372,24€"
Apple iPhone XR 256GB / Azul / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-xr/apple-iphone-xr-256gb-azul-grau-b-2/,"501,57€"
Apple iPhone XR 128GB / Coral / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-xr/apple-iphone-xr-128gb-coral-grau-b-2/,"468,00€"
Apple iPhone XR 128GB / Amarelo / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-xr/apple-iphone-xr-128gb-amarelo-grau-c-mais-2/,"426,40€"
Apple iPhone 8 64GB / Dourado / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-8/apple-iphone-8-64gb-dourado-grau-c-8/,"211,56€"
Apple iPhone 8 256GB / Prateado / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-8/apple-iphone-8-256gb-prateado-grau-a-2/,"416,33€"
Apple iPhone 7 Plus 32GB / Prateado / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-7-plus/apple-iphone-7-plus-32gb-prateado-grau-c-mais-2/,"217,46€"
Apple iPhone 7 256GB / Vermelho / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-7-plus/apple-iphone-7-256gb-vermelho-grau-b/,"270,48€"
Apple iPhone 7 128GB / Preto Brilhante / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-7/apple-iphone-7-128gb-preto-brilhante-grau-c-mais/,"219,70€"
Apple iPhone 5S 32GB / Prateado / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone5s/apple-iphone-5s-32gb-prateado-grau-c/,"131,30€"
Apple iPhone 13 Mini 128GB / Vermelho / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-13-mini/apple-iphone-13-mini-128gb-vermelho-grau-c-mais-2/,"844,66€"
